qseqid	sseqid	qstart	qend	sstart	send	evalue	score
gi|290752267|emb|CBH40238.1|	gi|290752267|emb|CBH40238.1|	1	466	1	466	0.0	2432
gi|290752267|emb|CBH40238.1|	gi|290752987|emb|CBH40963.1|	155	258	153	253	1.20e-07	113
gi|290752267|emb|CBH40238.1|	gi|290752484|emb|CBH40456.1|	136	278	18	165	0.002	79
gi|290752267|emb|CBH40238.1|	gi|290752316|emb|CBH40287.1|	161	282	54	167	0.005	75
gi|290752267|emb|CBH40238.1|	gi|290752979|emb|CBH40955.1|	139	202	29	88	0.006	75
gi|290752267|emb|CBH40238.1|	gi|290752406|emb|CBH40377.1|	150	202	18	65	0.010	72
gi|290752267|emb|CBH40238.1|	gi|290752470|emb|CBH40442.1|	157	230	153	214	0.079	65
gi|290752267|emb|CBH40238.1|	gi|290753078|emb|CBH41054.1|	40	75	3	38	0.16	63
gi|290752267|emb|CBH40238.1|	gi|290752526|emb|CBH40498.1|	155	191	35	71	0.92	57
gi|290752267|emb|CBH40238.1|	gi|290752490|emb|CBH40462.1|	194	307	7	123	1.0	56
gi|290752267|emb|CBH40238.1|	gi|290752269|emb|CBH40240.1|	222	412	34	226	1.1	56
gi|290752267|emb|CBH40238.1|	gi|290752318|emb|CBH40289.1|	137	175	207	241	1.4	56
gi|290752267|emb|CBH40238.1|	gi|290753081|emb|CBH41057.1|	155	173	153	171	1.9	54
gi|290752267|emb|CBH40238.1|	gi|290752567|emb|CBH40539.1|	407	459	430	477	2.6	54
gi|290752267|emb|CBH40238.1|	gi|290752331|emb|CBH40302.1|	152	176	35	59	2.9	53
gi|290752267|emb|CBH40238.1|	gi|290752443|emb|CBH40414.1|	291	348	98	148	3.6	52
gi|290752267|emb|CBH40238.1|	gi|290752491|emb|CBH40463.1|	137	202	29	90	5.0	51
gi|290752267|emb|CBH40238.1|	gi|290752892|emb|CBH40867.1|	35	97	141	209	5.1	51
gi|290752267|emb|CBH40238.1|	gi|290752514|emb|CBH40486.1|	84	127	249	293	6.8	50
gi|290752267|emb|CBH40238.1|	gi|290752531|emb|CBH40503.1|	271	328	35	74	7.0	50
gi|290752267|emb|CBH40238.1|	gi|290752787|emb|CBH40762.1|	155	176	74	95	7.1	50
gi|290752267|emb|CBH40238.1|	gi|290752632|emb|CBH40605.1|	155	180	159	184	7.4	50
gi|290752267|emb|CBH40238.1|	gi|290752453|emb|CBH40425.1|	7	136	47	175	7.8	49
gi|290752267|emb|CBH40238.1|	gi|290753086|emb|CBH41062.1|	153	178	365	391	8.3	49
gi|290752267|emb|CBH40238.1|	gi|290753058|emb|CBH41034.1|	119	223	95	205	9.2	48
gi|290752268|emb|CBH40239.1|	gi|290752268|emb|CBH40239.1|	1	369	1	369	0.0	1896
gi|290752268|emb|CBH40239.1|	gi|290752785|emb|CBH40760.1|	160	199	673	710	0.98	56
gi|290752268|emb|CBH40239.1|	gi|290752526|emb|CBH40498.1|	291	303	180	192	1.5	54
gi|290752268|emb|CBH40239.1|	gi|290752781|emb|CBH40756.1|	240	329	143	233	2.6	52
gi|290752268|emb|CBH40239.1|	gi|290752478|emb|CBH40450.1|	70	132	9	68	8.9	48
gi|290752268|emb|CBH40239.1|	gi|290752433|emb|CBH40404.1|	63	191	125	255	9.8	48
gi|290752269|emb|CBH40240.1|	gi|290752269|emb|CBH40240.1|	1	261	1	261	0.0	1369
gi|290752269|emb|CBH40240.1|	gi|290752766|emb|CBH40741.1|	4	261	5	264	1.58e-122	885
gi|290752269|emb|CBH40240.1|	gi|290752270|emb|CBH40241.1|	1	261	1	263	7.35e-113	822
gi|290752269|emb|CBH40240.1|	gi|290752490|emb|CBH40462.1|	2	261	3	263	3.95e-90	672
gi|290752269|emb|CBH40240.1|	gi|290752414|emb|CBH40385.1|	2	261	5	266	6.14e-56	445
gi|290752269|emb|CBH40240.1|	gi|290752985|emb|CBH40961.1|	10	130	15	132	2.08e-08	115
gi|290752269|emb|CBH40240.1|	gi|290752327|emb|CBH40298.1|	10	151	15	157	0.001	76
gi|290752269|emb|CBH40240.1|	gi|290752344|emb|CBH40315.1|	77	165	39	124	0.46	57
gi|290752269|emb|CBH40240.1|	gi|290752509|emb|CBH40481.1|	67	107	513	551	0.56	56
gi|290752269|emb|CBH40240.1|	gi|290752267|emb|CBH40238.1|	34	226	222	412	0.58	56
gi|290752269|emb|CBH40240.1|	gi|290752870|emb|CBH40845.1|	65	106	445	484	1.4	53
gi|290752269|emb|CBH40240.1|	gi|290752870|emb|CBH40845.1|	170	236	302	356	1.8	52
gi|290752269|emb|CBH40240.1|	gi|290752302|emb|CBH40273.1|	92	154	574	618	1.6	53
